s,p1,p2,p3,R11,R21,R31,R12,R22,R32,R13,R23,R33,v1,v2,v3,u1,u2,u3,Lb,L1,L2,L3,L4
0,0,0,0,1,0,0,0,1,0,0,0,1,0.00018935772704236183,0.015757058991504626,0.96418796824112074,-1.2120214078282925,10.732661032274947,2.5308068275929791,0,0,0,0,0
0.0050000000000000001,0.00013282379244664586,8.8542686704915893e-05,0.0048183362822623761,0.99848516878017868,0.012541828826319133,-0.053572603794774631,-0.012691238742813003,0.99991652592153724,-0.0024449327127926603,0.053537389216679651,0.0031211676168161674,0.99856099970695422,0.0014647969339659564,0.015667631867841241,0.9641871740846516,0.097042110589316888,10.679532260452666,2.5300870660571886,0.0048215803578933554,0.0047952972370714636,0.0048511822442458656,0.0043599663291935976,0.0054582662998093664
0.01,0.00052783960456719817,0.00017734411430676313,0.0096222944924363833,0.99400235264103654,0.025069550135125695,-0.10644688925639841,-0.024968009922548939,0.99968564692840356,0.0022866630536630683,0.10647075869439178,0.00038485421234064725,0.99431581697429638,0.0027248241397604782,0.015433930655925843,0.96418801477145577,1.3929488477327405,10.51967381590307,2.5295395547589949,0.0096431573476637861,0.0096555749104215351,0.0096373812564660259,0.0087235627564596283,0.010899891507775927
0.014999999999999999,0.0011807888469575864,0.00023774422435236941,0.014398475543442689,0.98673343625626664,0.037885430275633049,-0.15786626376317661,-0.036123422485999604,0.9992490389354528,0.01401796611017718,0.15827875999213781,-0.0081293484349244348,0.9873609880882207,0.0039569667490046596,0.015057313203247375,0.96419046087561111,2.6625639896594553,10.254681663744059,2.5291341580152347,0.014464735781052847,0.014579859730586382,0.014359590766703817,0.013088532997789932,0.016303138167315854
0.02,0.0020848691901629154,0.00024181221791107988,0.019134001636465916,0.97697249249181917,0.05125414227477014,-0.20711252654506598,-0.04550411418556994,0.99843984109012551,0.032449738518851926,0.20845164121723561,-0.022276617248396351,0.97778092052495369,0.0051490284135405524,0.014539707303613774,0.96419445384182279,3.8930572414213174,9.8872094851079275,2.5287976758212971,0.019286320272143654,0.019566531491702462,0.019019449345805791,0.017452745130218654,0.021648040661610669
0.025000000000000001,0.0032308218771827562,0.00016204630127320717,0.023816186856668101,0.965120573347931,0.065393170678307369,-0.25350901877653165,-0.052538247109394101,0.99698299504185761,0.057164456717049263,0.2564823057204787,-0.041850380577730148,0.96564457788930935,0.0062890365340387468,0.013883674547694931,0.96419991809128491,5.0719326554914108,9.4209439979410856,2.5284886728904707,0.024107915410692939,0.024613328187099173,0.023619237391402682,0.021814268791892875,0.026917035340126641
0.029999999999999999,0.0046069523943798856,-2.7725061486809984e-05,0.028432680572448337,0.95165673725436217,0.080439550241937552,-0.29644609074376727,-0.056763504869285941,0.99453270974459396,0.087645849326928191,0.30187585041404602,-0.06658180530359388,0.95101944617829515,0.0073655579738167946,0.013092689962222515,0.96420672926742068,6.1873081337227074,8.8605363355144657,2.5281575756503081,0.028929525437161319,0.029717392550726467,0.02816182788285557,0.02617148156107665,0.032096049328189408
0.035000000000000003,0.0061991284067021016,-0.00035193988107289743,0.032971585424409165,0.93712874568152615,0.096438901183663231,-0.33539029572690898,-0.057832993837121129,0.99068575777246171,0.1232851878779264,0.34415489667639154,-0.096138977267438794,0.93397714765481565,0.0083678219624945867,0.012171224637969977,0.96421469951836525,7.2280181650724762,8.2115821531546747,2.5277130783334472,0.033751154098386998,0.034875287591810016,0.032650669446132013,0.030523097316045689,0.037174808845119318
0.040000000000000001,0.0079909432484972492,-0.00083330351577287284,0.037421377328421053,0.92213368308662891,0.11334158264311639,-0.36988889885689202,-0.055531932470079079,0.98500124254898691,0.16339447879881891,0.38285941783837513,-0.13013118202674406,0.91459702348195382,0.0092858295473688211,0.011124944896789694,0.9642235753778795,8.1836781514765189,7.4805586453476494,2.5270700870354394,0.038572804616156239,0.04008302939583927,0.037089754241724268,0.034868198356127519,0.042147102807874627
0.044999999999999998,0.0099636590414980825,-0.0014929670596176901,0.041770601259497581,0.90729111658454109,0.13099435289416117,-0.39957576227081748,-0.049806525765549968,0.97702834227875901,0.20722322816959957,0.41754178688724392,-0.16811119260009105,0.89297320123323221,0.010110538138013124,0.0099610591035346821,0.96423304283134637,9.0447579847796415,6.6747497000217875,2.526259558759711,0.0433944794349434,0.045336130603497872,0.041483575942197648,0.039206291176315931,0.047011320105968507
0.050000000000000003,0.012096483349451518,-0.0023495436147191605,0.046008424857334432,0.89320830235329984,0.14914187828309933,-0.42418482859215934,-0.040744587939047693,0.96635123843420789,0.25398577094663494,0.44779106820331083,-0.20958163202632146,0.86922885582882792,0.010834145069297791,0.0086885738934509814,0.96424270529961664,9.8027952316905935,5.8021538190038209,2.5253227495785726,0.048216179920593544,0.05062967314844305,0.045837054279259923,0.043537279149584704,0.051770189663865221
0.055,0.014366757923367069,-0.0034187943683490949,0.050124817023101453,0.88046540104091253,0.16742691135427354,-0.4435551041736886,-0.028573172666068604,0.95260670973070327,0.30287271950385103,0.47324082639482823,-0.25399876737266658,0.84352059024820092,0.01145018659044527,0.0073184001816470577,0.9642520752392959,10.450474670465026,4.8714388054373972,2.5242842678861566,0.053037906318995805,0.05595833765073175,0.050155504963505446,0.047861460611933374,0.056430735395998022
0.059999999999999998,0.016750135665100578,-0.0047137365964838585,0.054110548703798278,0.86959438103700448,0.18540361888301829,-0.45762670863473903,-0.013655576878348945,0.93550431113921784,0.35306833948104843,0.49357095906530252,-0.30077986418893893,0.81604079599807733,0.011953523973922412,0.0058634456109362843,0.96426061309219657,10.981620891807495,3.8918717649909009,2.5231954867097617,0.057859657530964788,0.061316453377709565,0.054444590402737428,0.052179493714359204,0.061003964587349573
0.065000000000000002,0.019220482205211914,-0.0062448052947935203,0.057957099895916533,0.8610464076970491,0.20255475729877676,-0.4664366753607308,0.003509144298052283,0.91485795572562023,0.40377509752975049,0.50850967491400001,-0.3493096657914046,0.78702349018709705,0.01234038541838736,0.0043389145499537181,0.96426777385248297,11.391211509715117,2.8732472761316612,2.5222175741147441,0.06268143047930122,0.066698064176555855,0.058710254929272988,0.056492343775928405,0.065504497987075111
0.070000000000000007,0.021750667340813275,-0.008019190198795885,0.061657335489431711,0.85517250492414887,0.21831815553605882,-0.4701149402913381,0.022336921351383897,0.89060594047950592,0.45423878346899105,0.51785486630868804,-0.39895879039394222,0.75674386580663833,0.012608101542237659,0.0027617638577304982,0.96427307243224314,11.675443102335691,1.8257415080496591,2.5214803269128181,0.067503220750400161,0.072097012896080878,0.062958639859746451,0.060801201627996952,0.069949529385191542
0.074999999999999997,0.024312913976440365,-0.010040679141174146,0.065205714795564404,0.85221345102947033,0.23209793001859116,-0.4688818394188573,0.042174434115693014,0.86282092465965687,0.50375995108739646,0.52148062491087166,-0.44909167775310044,0.72551815586960955,0.01275501386351752,0.0011505340659068329,0.96427611381859546,11.831741741530356,0.75984702461214593,2.5210491820139627,0.072325022788992874,0.077506978882319694,0.067196045984191211,0.065107452491924928,0.074358438963706849
0.080000000000000002,0.026878975393225701,-0.012309912655683711,0.068598291197242908,0.85229054589266806,0.24328882924890094,-0.46303409942402013,0.062318141405947297,0.83171446657944204,0.55170629143397065,0.51933556088209554,-0.4990749836738016,0.69370021735334408,0.012780346215926596,-0.00047504348452740959,0.96427664077524278,11.858716419516156,-0.31371897647288272,2.5209547350424315,0.077146829898877015,0.082921531217940228,0.07142888137205268,0.069412607691532388,0.07875216300482446
0.085000000000000006,0.029420097745194464,-0.014824600981260724,0.071832780109992153,0.85538846819619552,0.25131262982171543,-0.45292516258511312,0.082040436817415616,0.79764716311085804,0.59753058861395447,0.5114414297361265,-0.54828569241338987,0.66167880204009422,0.012683927532539593,-0.0020945982372548252,0.96427462949714526,11.756101441070896,-1.3841000875325782,2.5212453364768077,0.081968634840278345,0.088334181442351153,0.075663612041206654,0.073718227248466384,0.083152293755953788
0.089999999999999997,0.031908079887735023,-0.017579403035378263,0.074908999842337148,0.8613684592570805,0.25564410625454459,-0.43894937745079471,0.10064573207740718,0.76111067998073345,0.64077712605879156,0.49789893912111804,-0.5961315373873356,0.629865416582291,0.012466307080560448,-0.003688218801824383,0.96427023605921747,11.524817452215204,-2.4405300954159643,2.5219008019326985,0.086790430833949939,0.09373848080988216,0.079906664951162526,0.078025831482465391,0.087579891092905607
0.095000000000000001,0.034315681524303088,-0.020565993965422275,0.077828976374351017,0.86997062020044613,0.25582403446413104,-0.42153395217409334,0.11749107526801278,0.72272299462564282,0.68108650882357913,0.47888865177782397,-0.64205971338596213,0.59868955961189507,0.012128776469705976,-0.0052368589879768839,0.9642637869563383,11.166974320693166,-3.4724308179003072,2.5228136165961486,0.091612211696073684,0.099128066421866695,0.084164381752299663,0.082336854271877841,0.092054992659277371
0.10000000000000001,0.036616697558473403,-0.023773401539954657,0.080596867379787301,0.88082336381540749,0.251480058946703,-0.40112068897747366,0.1320045051677394,0.68321305897715057,0.71819382827402278,0.45466227070659498,-0.68555974695182276,0.56859197193868305,0.011673498558333639,-0.0067227100696280392,0.96425574297064787,10.685865794813557,-4.4694757332036943,2.5238382814436076,0.096433972230929227,0.10449670161226357,0.088442980047770098,0.08665258945716621,0.096596008237794503
